Email,Name,Gender,10th board,10th marks,12th board,12th marks,Stream,Cgpa,Internships(Y/N),Training(Y/N),Backlog in 5th sem,Innovative Project(Y/N),Communication level,Technical Course(Y/N),Placement(Y/N)?,Salary
payal_roy79@gmail.com,Payal Roy,Female,State Board,96.7,CBSE,70.2,Mechanical Engineering,7.37,No,Yes,No,No,3,Yes,Not Placed,335598
shreyoshi_dey13@gmail.com,Shreyoshi Dey,Female,WBBSE,96.2,WBCHSE,90.6,Electronics and Communication Engineering,9.35,No,No,No,Yes,4,No,Not Placed,346908
rohan_nandi12@gmail.com,Rohan Nandi,Male,State Board,97.5,CBSE,69.6,Information Technology,7.84,No,Yes,No,Yes,3,Yes,Placed,336146
smita_agarwal90@gmail.com,Smita Agarwal,Female,CBSE,96.9,Other state Board,77.6,Computer Science in AIML,7.87,Yes,No,Yes,Yes,2,Yes,Not Placed,327181
samaira_singhania95@gmail.com,Samaira Singhania,Female,ICSE,99.1,CBSE,62.8,Computer Science and Engineering,9.26,Yes,Yes,No,Yes,1,Yes,Not Placed,319803
rakeshdeyrlo@gmail.com,Rakesh Dey,Male,CBSE,85.5,CBSE,86.0,Computer Science and Engineering,9.2,Yes,No,No,Yes,2,Yes,Not Placed,328733
dheeraj_thakur88@gmail.com,Dheeraj Thakur,Male,State Board,98.2,CBSE,83.4,Computer Science and Engineering,8.83,Yes,Yes,Yes,Yes,2,Yes,Not Placed,328301
dharmikc22@gmail.com,Dharmik Chsuhan Chauhan,Male,State Board,79.4,Diploma,82.1,Production Engineering,7.52,Yes,No,No,Yes,3,Yes,Placed,335773
suman_sen68@gmail.com,Suman Sen,Male,WBBSE,88.0,Other state Board,83.2,Computer Science in AIML,7.06,No,No,No,Yes,3,Yes,Placed,335236
sneha_pal5@gmail.com,Sneha Pal,Female,CBSE,84.3,CBSE,70.9,Civil Engineering,7.34,No,No,No,No,3,Yes,Not Placed,335563
mukesh_mandal71@gmail.com,Mukesh Mandal,Male,ICSE,84.1,Other state Board,67.9,Computer Science and Engineering,7.12,No,No,Yes,No,1,No,Not Placed,317306
shreya_shukla17@gmail.com,Shreya Shukla,Female,State Board,97.8,ISE,95.0,Computer Science and Engineering,8.87,Yes,Yes,No,Yes,4,Yes,Not Placed,346348
pranab_bhattacharya30@gmail.com,Pranab Bhattacharya,Male,ICSE,83.0,CBSE,79.8,Computer Science and Engineering,7.13,Yes,No,No,No,4,Yes,Not Placed,344318
mita_pal33@gmail.com,Mita Pal,Female,CBSE,78.5,Other state Board,62.0,Mechanical Engineering,7.18,Yes,Yes,No,Yes,1,Yes,Placed,317376
kunal_bhowmick27@gmail.com,Kunal Bhowmick,Male,WBBSE,95.9,CBSE,73.2,Information Technology,9.14,Yes,Yes,Yes,Yes,1,Yes,Not Placed,319663
amit_dey53@gmail.com,Amit Dey,Male,WBBSE,75.0,Other state Board,68.9,Electronics and Communication Engineering,7.58,No,No,No,Yes,4,Yes,Placed,344843
mita_bardhan92@gmail.com,Mita Bardhan,Female,WBBSE,89.8,CBSE,88.6,Computer Science and Engineering,7.66,Yes,Yes,No,Yes,5,Yes,Placed,353936
chatterjeenaitik@gmail.com,Naitik Chatterjee,Male,ICSE,93.6,WBCHSE,87.6,Computer Science and Engineering,8.92,Yes,No,No,No,3,No,Not Placed,337406
debanshu_sen11@gmail.com,Debanshu Sen,Male,CBSE,87.4,ISE,80.2,Computer Science and Engineering,7.17,Yes,Yes,No,No,4,Yes,Not Placed,344365
meyenka_rao10@gmail.com,Meyenka Rao,Female,WBBSE,96.3,CBSE,78.0,Electrical Engineering,7.51,No,Yes,No,Yes,1,Yes,Placed,317761
prakash_singh58@gmail.com,Prakash Singh,Male,State Board,82.4,Other state Board,77.3,Mechanical Engineering,8.97,No,Yes,No,Yes,2,Yes,Placed,328465
nayanika_choudhury99@gmail.com,Nayanika Choudhury,Female,ICSE,87.6,ISE,88.9,Electrical Engineering,8.79,No,No,No,No,4,Yes,Not Placed,346255
ayush_kumar_singh91@gmail.com,Ayush Kumar Singh,Male,ICSE,76.9,CBSE,68.2,Electrical Engineering,8.1,Yes,Yes,No,Yes,5,Yes,Placed,400000
rahul_yadav53@gmail.com,Rahul Yadav,Male,ICSE,72.8,Other state Board,87.2,Electrical Engineering,7.08,No,No,Yes,No,4,Yes,Not Placed,344260
anisha_mitra38@gmail.com,Anisha Mitra,Female,State Board,98.2,CBSE,68.1,Civil Engineering,7.79,No,Yes,No,Yes,1,Yes,Placed,318088
shreya_choudhury19@gmail.com,Shreya Choudhury,Female,WBBSE,89.3,CBSE,71.2,Electronics and Communication Engineering,7.78,Yes,Yes,No,Yes,1,Yes,Placed,318076
kaushik_bhowmick78@gmail.com,Kaushik Bhowmick,Male,CBSE,90.2,CBSE,77.2,Civil Engineering,7.22,No,No,No,Yes,1,Yes,Placed,317423
naira_patel62@gmail.com,Naira Patel,Female,WBBSE,77.9,CBSE,80.1,Computer Science and Engineering,8.84,Yes,Yes,Yes,No,4,Yes,Not Placed,346313
mita_yadav64@gmail.com,Mita Yadav,Female,WBBSE,98.5,Other state Board,84.2,Computer Science and Engineering,9.37,Yes,No,No,Yes,4,Yes,Not Placed,346931
aparna_mishra16@gmail.com,Aparna Mishra,Female,WBBSE,72.2,WBCHSE,93.7,Electronics and Communication Engineering,8.98,Yes,Yes,No,No,5,No,Not Placed,400000
prakash_sah94@gmail.com,Prakash Sah,Male,ICSE,93.4,ISE,92.2,Computer Science and Engineering,8.85,Yes,No,No,Yes,4,Yes,Placed,346325
ayushi_shukla9@gmail.com,Ayushi Shukla,Female,ICSE,85.6,ISE,86.4,Computer Science and Engineering,7.8,Yes,Yes,No,Yes,4,No,Not Placed,345100
nishant_dev95@gmail.com,Nishant Dev,Male,ICSE,94.6,ISE,79.6,Computer Science in Data Science,9.26,Yes,No,No,Yes,3,Yes,Placed,337803
piyali_mishra80@gmail.com,Piyali Mishra,Female,WBBSE,79.6,CBSE,74.1,Mechanical Engineering,7.01,No,Yes,No,Yes,5,Yes,Placed,353178
suvankar_kar61@gmail.com,Suvankar Kar,Male,CBSE,73.8,CBSE,73.4,Civil Engineering,8.87,No,Yes,No,Yes,5,No,Not Placed,400000
arpita_chakraborty84@gmail.com,Arpita Chakraborty,Female,CBSE,77.8,WBCHSE,94.3,Computer Science and Engineering,9.0,Yes,Yes,No,No,4,No,Not Placed,346500
vikram_roy16@gmail.com,Vikram Roy,Male,State Board,77.6,WBCHSE,80.9,Information Technology,7.74,No,No,No,Yes,3,Yes,Placed,336030
anisha_modi58@gmail.com,Anisha Modi,Female,CBSE,71.0,ISE,67.1,Information Technology,8.48,Yes,Yes,No,Yes,3,Yes,Placed,336893
ayush_singh43@gmail.com,Ayush Singh,Male,CBSE,94.1,CBSE,66.4,Electronics and Communication Engineering,7.05,No,Yes,Yes,Yes,2,Yes,Not Placed,326225
shreya_banerjee81@gmail.com,Shreya Banerjee,Female,ICSE,72.1,CBSE,70.2,Computer Science in AIML,7.16,No,No,No,Yes,2,Yes,Placed,326353
vidya_mishra44@gmail.com,Vidya Mishra,Female,ICSE,82.6,WBCHSE,67.3,Computer Science and Engineering,7.95,Yes,Yes,No,Yes,3,Yes,Placed,336275
abhijit_ganguly66@gmail.com,Abhijit Ganguly,Male,WBBSE,71.9,WBCHSE,67.4,Electrical and Electronics Engineering,7.88,No,No,No,Yes,1,Yes,Placed,318193
vidya_iyer45@gmail.com,Vidya Iyer,Female,CBSE,80.5,ISE,74.2,Electronics and Communication Engineering,8.86,Yes,Yes,Yes,Yes,2,Yes,Not Placed,328336
ayesha_banerjee57@gmail.com,Ayesha Banerjee,Female,State Board,87.2,WBCHSE,80.4,Electronics and Communication Engineering,7.65,Yes,Yes,Yes,No,4,Yes,Not Placed,344925
ayushi_mazumdar6@gmail.com,Ayushi Mazumdar,Female,CBSE,70.3,Other state Board,79.0,Computer Science and Engineering,9.34,Yes,Yes,No,Yes,2,Yes,Not Placed,328896
anupam_pal96@gmail.com,Anupam Pal,Male,State Board,75.2,WBCHSE,82.5,Mechanical Engineering,8.52,No,No,No,No,5,No,Not Placed,400000
suvankar_bhowmick11@gmail.com,Suvankar Bhowmick,Male,State Board,78.9,ISE,91.2,Electrical Engineering,8.65,No,Yes,No,Yes,1,Yes,Placed,319091
madhuri_agarwal98@gmail.com,Madhuri Agarwal,Female,WBBSE,86.3,Other state Board,62.6,Computer Science in AIML,7.1,No,Yes,No,Yes,1,Yes,Placed,317283
suhana_mukherjee68@gmail.com,Suhana Mukherjee,Female,State Board,96.9,CBSE,89.8,Civil Engineering,7.09,Yes,Yes,Yes,Yes,3,Yes,Not Placed,335271
bharat_mahto54@gmail.com,Bharat Mahto,Male,ICSE,75.9,CBSE,85.4,Computer Science in AIML,7.64,No,Yes,Yes,Yes,4,Yes,Not Placed,344913
jaya_singhania91@gmail.com,Jaya Singhania,Female,CBSE,99.6,ISE,81.7,Computer Science and Engineering,8.57,Yes,No,No,No,3,No,Not Placed,336998
anupama_sinha15@gmail.com,Anupama Sinha,Female,CBSE,95.0,CBSE,92.5,Information Technology,7.69,Yes,Yes,No,No,5,Yes,Not Placed,353971
piyali_dutta68@gmail.com,Piyali Dutta,Female,CBSE,72.0,CBSE,65.1,Civil Engineering,7.57,No,Yes,Yes,Yes,1,No,Not Placed,317831
piyali_chakraborty49@gmail.com,Piyali Chakraborty,Female,ICSE,88.6,WBCHSE,73.2,Computer Science and Engineering,9.23,Yes,Yes,No,Yes,3,Yes,Placed,337768
gopal_mahto11@gmail.com,Gopal Mahto,Male,CBSE,80.7,Other state Board,76.1,Computer Science in AIML,9.51,Yes,No,Yes,Yes,1,Yes,Not Placed,320095
amateurz.media@gmail.com,Siddharth,Male,CBSE,95.0,CBSE,90.0,IMsc Maths and Computing,8.15,Yes,No,No,Yes,4,Yes,Not Placed,345508
vidya_shukla46@gmail.com,Vidya Shukla,Female,State Board,92.0,Other state Board,67.4,Mechanical Engineering,9.35,No,Yes,No,Yes,2,Yes,Placed,328908
vikas_dev23@gmail.com,Vikas Dev,Male,ICSE,84.4,Other state Board,87.6,Computer Science and Design,8.58,Yes,No,No,Yes,3,Yes,Placed,337010
arnab_sengupta45@gmail.com,Arnab Sengupta,Male,WBBSE,86.6,WBCHSE,84.4,Computer Science and Design,7.13,No,No,No,Yes,3,Yes,Placed,335318
rahul.2002.dey@gmail.com,Rahul Dey,Male,CBSE,96.4,CBSE,97.0,Electronics and Communication and Engineeing,8.91,No,Yes,Yes,No,3,Yes,Not Placed,337395
ishika_patel12@gmail.com,Ishika Patel,Female,ICSE,76.1,Other state Board,60.4,Electronics and Communication Engineering,8.94,Yes,No,No,Yes,1,Yes,Placed,319430
nikhil_das17@gmail.com,Nikhil Das,Male,CBSE,75.6,Other state Board,93.8,Electrical Engineering,8.99,Yes,No,No,Yes,4,Yes,Placed,346488
pranab_mazumdar37@gmail.com,Pranab Mazumdar,Male,WBBSE,99.9,CBSE,86.9,Mechanical Engineering,7.6,No,Yes,No,Yes,4,Yes,Placed,344866
shubhamsri28101999@gmail.com,Shubham Kumar Srivastava,Male,CBSE,75.0,CBSE,48.0,Information Technology,5.75,No,No,Yes,No,3,Yes,Not Placed,333708
nayana_ghosh91@gmail.com,Nayana Ghosh,Female,State Board,79.6,WBCHSE,61.7,Computer Science in Data Science,7.92,No,Yes,Yes,Yes,4,Yes,Not Placed,345240
sunil_sinha25@gmail.com,Sunil Sinha,Male,State Board,91.1,ISE,74.2,Chemical Engineering,8.37,No,No,No,Yes,2,Yes,Placed,327765
piyali_bhat42@gmail.com,Piyali Bhat,Female,CBSE,86.4,ISE,85.1,Electronics and Communication Engineering,9.56,No,No,No,Yes,3,Yes,Not Placed,338153
sanjana_mazumdar9@gmail.com,Sanjana Mazumdar,Female,State Board,70.4,ISE,87.2,Civil Engineering,9.35,No,No,No,Yes,1,Yes,Placed,319908
arnav_bhattacharya14@gmail.com,Arnav Bhattacharya,Male,ICSE,86.7,Other state Board,93.0,Computer Science and Engineering,7.45,Yes,Yes,No,Yes,1,Yes,Placed,317691
diya_kapoor58@gmail.com,Diya Kapoor,Female,CBSE,72.2,CBSE,74.8,Computer Science in AIML,8.02,Yes,Yes,No,Yes,2,Yes,Placed,327356
vinayak12031521026@gmail.com,Vinayak kumar,Male,CBSE,75.0,CBSE,68.0,Computer Science and Engineering,8.2,Yes,No,Yes,Yes,4,Yes,Placed,345566
mahii828113@gmail.com,Mahenoor Ahsan,Female,CBSE,95.0,CBSE,86.4,Information Technology,9.46,Yes,Yes,No,Yes,3,Yes,Not Placed,338036
aishwarya_kar82@gmail.com,Aishwarya Kar,Female,State Board,88.1,ISE,60.2,Electrical and Electronics Engineering,8.61,No,No,No,Yes,2,Yes,Placed,328045
